material,bg_hse06 (eV),bg_pbesol (eV),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,IP (eV),EA (eV),r_cov (AA),EN (Pauling),N_val,N_unf,max_OS,stdev_OS,lat_a (AA),lat_b (AA),lat_c (AA),std_charge,min_dist (AA),cbm (eV),vbm (eV),e_fermi (eV),skew_dos,kurt_dos
Ca9Ge3O23,1.19957455,0.44858728,0.84539,0.846961428571428,-10.0751582923596,1.74328285829268,13.1428571428571,11.1980562637143,1.07212600397143,0.989142857142857,2.69,5.65714285714286,1.65714285714286,0,0,9.8453443590449,7.43191152804651,12.9488386737996,0.33698496858084,0.4144896,-7.37072956,-7.81931684,-7.59593191,1.56083539257273,4.49654538167254
OsO4,4.44349083,3.25573131,0.62669,0.48549,-10.9721460072369,2.65286600174976,21.6,12.58209,1.3844445,0.816,3.192,9.2,2.4,0,0,5.08110194136244,5.0811019504561,4.70120590174361,0.412204781002715,1.62150592,-5.51887609,-8.7746074,-7.14674175,4.516349191965,34.9134772716537
Ba3Te2O9,4.02695359,2.31074544,0.903464285714286,0.911592857142857,-9.6508228635083,2.59046071599432,24.5714285714286,11.1583646285714,1.25182693571429,1.08214285714286,2.70214285714286,6.57142857142857,1.57142857142857,6,4.05839724956714,5.86615013376549,5.86615022170841,14.35611622,0.435115477155391,1.86351089,-6.84402588,-9.15477132,-7.9993986,3.78387295178847,28.9243690570474
In2Cu2O5,2.25577911,0.15839357,0.777683333333334,0.847794444444445,-9.85232445094279,0.735614444929638,21.7777777777778,10.5684162666667,1.17166072222222,0.975555555555556,2.72888888888889,8.66666666666667,2.44444444444444,3,2.93683503111768,10.5914395900164,3.30754887018492,12.3159279000042,0.427208817130205,1.89232709,-5.82076406,-5.97915764,-5.89241636,5.429884123822,45.2515678003623
Ba(NO2)2,4.27769548,2.35497087,0.729378571428571,0.706435714285714,-10.3015228639375,0.935931429188746,14.5714285714286,12.6788778,0.835578171428571,0.887142857142857,2.96142857142857,5.14285714285714,2,3,3.08220700148449,6.79106630000074,7.66270643000007,8.27117311000021,0.204437460281501,1.23556457,-5.49751199,-7.85248286,-6.67499743,3.43795697588314,18.6813410979119
H4N2O3,5.35847482,3.36099608,0.503772222222222,0.489238888888889,-10.1504022289172,1.14130777853056,4.66666666666667,13.812907044312,0.806856433333333,0.515555555555556,2.8,3.55555555555556,1.77777777777778,5,2.88675134594813,7.92358639000011,7.8987803,9.91829950000005,0.165243156745187,0.98407005,-3.81306141,-7.17405748,-5.49355945,2.57035174751697,8.12170872181519
K2Cr3O10,3.37423161,1.99155917,0.887076666666667,0.66539,-9.47580733958333,1.86677200123128,12.6666666666667,11.0107604973333,1.17609965733333,0.988666666666667,2.73466666666667,5.33333333333333,2.66666666666667,6,4.48210728500398,7.44710227842782,17.8454622401757,9.62954684500806,0.333023851204512,1.58311728,-6.80911611,-8.80067528,-7.8048957,48.3528083322874,2525.82820427985
LiAsO3,5.47662081,3.67073291,0.77017,0.78865,-9.3904460061937,1.21449800080105,12,11.2068859992,1.161237024,0.89,2.696,6.8,2,5,3.68394198806504,5.51234279765734,5.51233807860073,5.51248453024154,0.342164017048101,1.81621376,-5.4008035,-9.07153641,-7.23616995,2.35998885753249,8.98445860319954
Al2ZnO4,5.90131911,3.97820159,0.737864285714286,0.811092857142857,-10.1622414352742,1.33925571516905,12.5714285714286,10.8339935714286,0.870013028571429,0.897142857142857,2.66142857142857,6,2.57142857142857,3,3.08220700148449,5.73135400172477,5.73135108844464,5.73135108844464,0.357868383650197,1.87973585,-4.80639086,-8.78459245,-6.79549165,2.00209118684607,7.6807936251996
Ag2GeO3,1.13194139,0.24639225,0.827616666666667,0.85385,-9.7323766730859,0.171961666780089,25,10.6510113333333,1.37082305216667,1.01333333333333,2.69833333333333,9,2,4,2.86038776773678,4.66559440000004,6.88270631,10.55399551,0.339220156916062,1.71156847,-5.89044626,-6.13683851,-6.01364238,3.14605993363001,15.2034090285948
Y2Ge2O7,5.6525299,3.85761421,0.784259090909091,0.660168181818182,-10.6347072797417,1.42678454639562,18,11.2327068181818,1.209757266,0.983636363636363,2.77636363636364,6.90909090909091,3.63636363636364,4,3.6614546289692,6.81188493,6.81187576,12.39440036,0.44915729741972,1.73310182,-5.16646798,-9.02408218,-5.20649761,2.31876029042328,11.5367375236742
Ti3H2O7,4.64810517,3.09016384,0.754433333333334,0.47285,-9.7110483397385,1.85194916788817,10.3333333333333,11.9173011832837,0.996964008333333,0.836666666666667,2.75833333333333,4.66666666666667,3.33333333333333,4,3.37855503822884,8.15291543007007,8.15244282806381,9.38970122845545,0.390703451434739,0.85745119,-6.00912244,-9.09928628,-9.05747457,1.64400128135402,3.74610928818116
Sc2MnO4,3.81337398,1.38566432,0.918664285714286,0.469892857142857,-8.88639572014696,1.24148857224743,14.1428571428571,10.7184625714286,0.814403028571429,1.06142857142857,2.57571428571429,5.28571428571429,4.42857142857143,3,3.08220700148449,6.20457448103429,6.20457458129107,6.20479361702322,0.41558621789602,2.02307663,-5.9367229,-7.32238723,-6.62955507,2.51316475440442,8.0713513810088
LiB2O3,4.28367882,2.67826201,0.7653,0.769866666666667,-9.91842667320861,0.752358333829571,6.16666666666667,10.4736529993333,0.926801936666667,0.823333333333333,2.56333333333333,4.16666666666667,2.83333333333333,0,0,8.99189597711725,8.57658060425852,7.36404334940385,0.24463370592555,0.8139432,-4.54383603,-7.22209804,-5.88296704,1.18840283770762,2.35567786327391
NaSi,1.7543209,1.1408614,1.34725,1.4426,-6.80119000448589,-1.69724000111946,12.5,6.64537848,0.968723765,1.385,1.415,2.5,2.5,0,0,6.78116498659694,6.78115812256525,10.9428994824286,0.165720235829738,2.37972412,-4.37897603,-5.51983743,-4.94940673,1.97598722729,15.3712779413731
Ca9Si3O17,5.12335163,3.29809546,0.927825862068966,0.930084482758621,-9.50439966144127,1.40889103541203,12.3448275862069,10.7234611803448,1.00787286,1.04793103448276,2.52344827586207,4.55172413793104,1.58620689655172,0,0,9.70820004887576,9.26702196147075,9.79594712014386,0.380590186880732,1.12897596,-5.43511346,-8.73320892,-7.08416119,1.70059389339313,5.12272455006313
Ba2(WO4)3,3.90167939,2.3459486,0.834920588235294,0.702708823529412,-9.91981471242521,1.86153706005135,25.2941176470588,11.6136517176471,1.19243056470588,1.00470588235294,2.94941176470588,8,2.47058823529412,0,0,6.88916270521724,11.5383777457625,11.3604611275673,0.443670041388818,0.585688,-5.75095781,-8.09690641,-6.92393211,3.19909061474335,15.8659777133504
P2Pd,1.03738181,0.31546101,1.04951666666667,0.834516666666667,-6.44850000425327,-2.94907333527847,25.3333333333333,9.77007033333333,0.685118466666667,1.17666666666667,2.19333333333333,6.66666666666667,2,4,3.60555127546399,4.48299941780739,4.48299943411034,5.86675232770026,0.020056413497697,2.20164947,-5.34832418,-5.66378519,-5.50605469,1.72017869557985,6.4394468173398
Li4TeO5,4.38503557,2.66767334,0.97091,0.97511,-8.23127200542914,1.82428400120325,10.4,9.8666942984,1.174859908,0.98,2.322,5,1.6,6,3.21633760451338,5.136134517132,5.19325443779632,7.8089728083311,0.355862105384626,1.87686473,-6.80399281,-9.47166615,-8.13782948,1.10013078939358,1.39724679101854
CaP3O10,5.57196308,3.06464643,0.635128571428571,0.641207142857143,-10.5889978641271,1.65971357252328,10.3571428571429,12.410983105,1.20538752142857,0.826428571428571,2.99785714285714,5.5,2.07142857142857,0,0,5.87218430928876,19.0661481653239,7.88651423470208,0.330239703894567,0.51086712,-4.90576602,-7.97041245,-6.43808924,2.54456571002828,13.2834157435959
Ta2VO6,1.01655135,0.01896654,0.798861111111111,0.524838888888889,-9.78276889534136,1.72238889002493,24.1111111111111,11.5059621111111,1.10450375555556,0.987777777777778,2.80777777777778,8.77777777777778,3.66666666666667,5,4.18927201313068,4.75300582000003,4.75301755000011,9.02935642,0.462350290336175,2.02568087,-5.46272034,-5.48168688,-5.47795411,0.749136916340407,-0.146532623410184
