material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
Sr2MnMoO6,1.23318,1.96785,1.4297,1.96785,0.56445,1.81085,1.36015,1.81085,0.5588,-3.70916,-4.75032,-0.90065,-1.2741,38,33.5,5.69487,7.26323,0.05207,0.11367,0.95,1.855,2,4,Sr,Mn,Mo,3.75,22.865
Pm2CdFeO6,1.11106,1.98305,1.25105,0.33615,0.8093,1.83585,1.18195,0.33605,0.7796,-3.30607,-5.61678,-1.25847,-0.72229,61,37,5.58187,8.44814,0.129,-0.28338,1.13,1.76,3,3,Pm,Cd,Fe,6.83,9.785
Pr2NbSbO6,0.91315,2.02475,1.31045,0.36565,1.01125,1.89375,1.2706,0.36655,0.97855,-3.26203,-5.39275,-1.05666,-2.20692,59,46,5.4702,7.68362,0.10923,0.9824,1.13,1.825,3,3,Pr,Nb,Sb,6.38,14.42
Pm2CoTcO6,1.31707,1.98305,1.3408,0.33615,0.51385,1.83585,1.2921,0.33605,0.5151,-3.30607,-5.01064,-1.25847,-1.58793,61,35,5.58187,7.5002,0.129,0.60713,1.13,1.89,3,3,Pm,Co,Tc,6.83,20.915
Ce2AlCuO6,1.25755,2.07805,1.1574,1.35245,1.31535,1.91635,1.10205,0.38175,0.6875,-3.34104,-6.55999,-1.39487,-2.5621,58,21,5.5386,6.85607,0.572,0.83431,1.12,1.755,4,2,Ce,Al,Cu,4.78,9.65
Mg2CrTaO6,1.29572,1.35285,1.4564,1.35285,0.63945,1.26075,1.38295,1.26075,0.631,-5.04225,-4.82945,-0.77042,-1.36406,12,48.5,7.64624,7.15804,-0.42,0.49948,1.31,1.58,2,4,Mg,Cr,Ta,5.26,20.72
Pm2AgCrO6,1.01,1.98305,1.39255,0.33615,0.888,1.83585,1.31975,0.33605,0.4927,-3.30607,-4.84044,-1.25847,-2.14812,61,35.5,5.58187,7.17137,0.129,0.99016,1.13,1.795,3,3,Pm,Ag,Cr,6.83,14.555
Y2PdZnO6,1.19459,1.78395,1.2966,0.95895,0.8464,1.63185,1.17755,1.63185,0.81315,-3.97745,-5.74726,-1.37282,-1.55103,39,38,6.21726,8.86552,0.30712,-0.02893,1.22,1.925,3,3,Y,Pd,Zn,8.42,12.465
Nd2GePbO6,0.88176,2.00295,0.9863,0.35015,1.2914,1.89905,0.97005,0.34865,1.21815,-3.25222,-11.69639,-1.29622,-2.37592,60,57,5.525,7.65806,0.09749,0.7947,1.14,2.17,3,3,Nd,Ge,Pb,6.83,8.655
Be2GeMnO6,1.35419,1.08065,1.12225,1.08065,0.78685,1.00365,1.0735,1.00365,0.75075,-6.07034,-8.08562,-1.4731,-1.93859,4,28.5,9.3227,7.66674,-0.52,0.35634,1.57,1.78,2,4,Be,Ge,Mn,6.02,14.265
Pr2PtTcO6,1.15224,2.02475,1.38315,0.36565,0.6727,1.89375,1.29595,0.36655,0.6669,-3.26203,-4.86962,-1.05666,-3.60406,59,60.5,5.4702,8.03911,0.10923,1.33855,1.13,2.09,3,3,Pr,Pt,Tc,6.38,25.815
