material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
Ca2SnVO6,1.1175,1.80815,1.29715,1.80815,0.9199,1.65875,1.24315,1.65875,0.8845,-3.94208,-7.32311,-0.93507,-1.81159,20,36.5,6.11316,7.04505,0.02455,0.81987,1,1.795,2,4,Ca,Sn,V,4.44,11.895
Y2SnTcO6,1.19614,1.78395,1.2519,0.95895,1.01505,1.63185,1.2089,1.63185,0.9796,-3.97745,-7.35908,-1.37282,-2.78395,39,46.5,6.21726,7.23165,0.30712,0.83204,1.22,1.93,3,3,Y,Sn,Tc,8.42,18.08
Ba2BiTiO6,0.8836,2.20615,1.29795,2.20615,0.91865,2.07185,1.2384,2.07185,0.88775,-3.35828,-5.04115,-1.33494,-2.09409,56,52.5,5.21166,7.05682,0.14463,0.50895,0.89,1.78,2,4,Ba,Bi,Ti,3.58,10.61
Na2CrRhO6,1.16858,1.74615,1.4769,1.74615,0.5271,0.32095,1.3559,0.28665,0.5209,-3.18997,-4.7777,-0.88318,-1.89695,11,34.5,5.13908,7.11271,0.54793,0.90937,0.93,1.97,1,5,Na,Cr,Rh,1.82,20.83
Ce2BiNbO6,0.94171,2.07805,1.3033,1.35245,1.0419,1.91635,1.26735,0.38175,1.01145,-3.34104,-5.20919,-1.39487,-2.09382,58,62,5.5386,7.02218,0.572,0.92988,1.12,1.81,3,3,Ce,Bi,Nb,4.78,14.435
Ba2BiTaO6,0.86932,2.20615,1.22815,2.20615,1.06485,2.07185,1.1905,2.07185,1.03605,-3.35828,-5.35897,-1.33494,-2.26752,56,78,5.21166,7.41754,0.14463,0.63274,0.89,1.76,2,4,Ba,Bi,Ta,3.58,15.595
Y2MoTiO6,1.31864,1.78395,1.5704,0.95895,0.63555,1.63185,1.48615,1.63185,0.62205,-3.97745,-4.59333,-1.37282,-1.24515,39,32,6.21726,6.96028,0.30712,0.41144,1.22,1.85,3,3,Y,Mo,Ti,8.42,19.14
Pr2PbPtO6,0.86195,2.02475,1.19165,0.36565,1.0414,1.89375,1.12805,0.36655,0.999,-3.26203,-8.6139,-1.05666,-3.18643,59,80,5.4702,8.18775,0.10923,1.24091,1.13,2.305,4,2,Pr,Pb,Pt,6.38,16.38
Sm2AgTaO6,0.93351,1.99935,1.3965,0.32485,1.0841,1.80355,1.33215,0.32345,0.68455,-3.31902,-5.00165,-0.57557,-2.47472,62,60,5.64371,7.5629,0.162,0.8138,1.17,1.715,3,3,Sm,Ag,Ta,8.06,16.065
Ba2RuTiO6,1.16024,2.20615,1.5187,2.20615,0.59155,2.07185,1.4378,2.07185,0.58135,-3.35828,-4.67927,-1.33494,-2.02585,56,33,5.21166,7.09431,0.14463,0.56096,0.89,1.87,2,4,Ba,Ru,Ti,3.58,19.56
Ca2PbTaO6,0.85149,1.80815,1.2535,1.80815,1.1228,1.65875,1.2138,1.65875,1.0787,-3.94208,-8.44061,-0.93507,-1.98349,20,77.5,6.11316,7.48313,0.02455,0.33992,1,1.915,2,4,Ca,Pb,Ta,4.44,15.36
Nd2GaTaO6,1.22331,2.00295,1.23565,0.35015,1.10325,1.89905,1.1849,0.34865,0.89865,-3.25222,-7.03687,-1.29622,-1.69532,60,52,5.525,6.77444,0.09749,0.31216,1.14,1.655,2,4,Nd,Ga,Ta,6.83,14.265
La2CoCuO6,1.24091,2.03235,1.22845,1.19775,0.78,1.88385,1.18145,1.88385,0.33875,-3.5912,-5.48098,-1.49016,-1.70087,57,28,5.5769,7.8037,0.55755,0.94902,1.1,1.89,3,3,La,Co,Cu,6.56,12.615
Ca2MnVO6,1.30914,1.80815,1.41935,1.80815,0.44165,1.65875,1.33785,1.65875,0.43995,-3.94208,-4.49955,-0.93507,-1.28427,20,24,6.11316,7.09011,0.02455,0.00383,1,1.59,2,4,Ca,Mn,V,4.44,17.35
Y2CdPbO6,0.89798,1.78395,1.14505,0.95895,1.32675,1.63185,1.10755,1.63185,1.2587,-3.97745,-8.95663,-1.37282,-1.41952,39,65,6.21726,8.20525,0.30712,-0.18164,1.22,2.01,3,3,Y,Cd,Pb,8.42,7.515
Cs2FeTiO6,0.9737,2.51755,1.4293,2.51755,0.45915,0.81755,1.3361,0.94155,0.4513,-2.29006,-4.78295,-1.22595,-1.11283,55,24,3.89391,7.36529,0.47163,0.11439,0.79,1.685,1,5,Cs,Fe,Ti,1.43,12.645
Pr2PbPdO6,0.92176,2.02475,1.26355,0.36565,0.99505,1.89375,1.16715,0.36655,0.9539,-3.26203,-8.4798,-1.05666,-2.4801,59,64,5.4702,7.87676,0.10923,0.45943,1.13,2.265,4,2,Pr,Pb,Pd,6.38,13.065
Sm2WZnO6,1.10236,1.99935,1.2703,0.32485,0.9553,1.80355,1.2184,0.32345,0.91965,-3.31902,-5.62161,-0.57557,-1.17298,62,52,5.64371,8.62911,0.162,0.09813,1.17,2.005,2,4,Sm,W,Zn,8.06,19.025
Be2PbRhO6,0.92524,1.08065,1.274,1.08065,1.01045,1.00365,1.18675,1.00365,0.9686,-6.07034,-8.38887,-1.4731,-2.51638,4,63.5,9.3227,7.43779,-0.52,0.74981,1.57,2.305,2,4,Be,Pb,Rh,6.02,15.47
Ca2MnPdO6,1.08699,1.80815,1.3995,1.80815,0.4905,1.65875,1.2706,1.65875,0.4865,-3.94208,-4.86903,-0.93507,-2.04277,20,35.5,6.11316,7.88544,0.02455,0.02107,1,1.875,2,4,Ca,Mn,Pd,4.44,18.675
Y2TiWO6,1.33031,1.78395,1.5139,0.95895,0.6705,1.63185,1.43745,1.63185,0.65625,-3.97745,-4.58639,-1.37282,-1.63578,39,48,6.21726,7.34608,0.30712,0.44591,1.22,1.95,3,3,Y,Ti,W,8.42,21.51
Be2FeRhO6,1.26546,1.08065,1.38,1.08065,0.493,1.00365,1.26115,1.00365,0.4895,-6.07034,-5.04902,-1.4731,-1.81915,4,35.5,9.3227,7.68068,-0.52,0.64806,1.57,2.055,2,4,Be,Fe,Rh,6.02,17.74
Be2GaRuO6,1.21004,1.08065,1.2242,1.08065,1.00545,1.00365,1.17945,1.00365,0.80545,-6.07034,-7.0433,-1.4731,-2.20395,4,37.5,9.3227,6.6799,-0.52,0.67379,1.57,2.005,2,4,Be,Ga,Ru,6.02,16.58
Mg2PdRhO6,1.07748,1.35285,1.4909,1.35285,0.59545,1.26075,1.32165,1.26075,0.58795,-5.04225,-4.97811,-0.77042,-2.72015,12,45.5,7.64624,7.89787,-0.42,0.85252,1.31,2.24,2,4,Mg,Pd,Rh,5.26,20.045
Sm2CrPdO6,1.14623,1.99935,1.46645,0.32485,0.5117,1.80355,1.3363,0.32345,0.5062,-3.31902,-4.86864,-0.57557,-1.86066,62,35,5.64371,7.55167,0.162,0.61899,1.17,1.93,3,3,Sm,Cr,Pd,8.06,18.425
La2MnZnO6,1.21957,2.03235,1.21565,1.19775,0.75685,1.88385,1.1461,1.88385,0.7264,-3.5912,-5.54724,-1.49016,-0.90994,57,27.5,5.5769,8.41412,0.55755,-0.57,1.1,1.6,3,3,La,Mn,Zn,6.56,13.5
Rb2MoTiO6,1.10365,2.29415,1.5704,2.29415,0.63555,0.66735,1.48615,0.75565,0.62205,-2.49875,-4.59333,-1.23792,-1.24515,37,32,4.17713,6.96028,0.48592,0.41144,0.82,1.85,1,5,Rb,Mo,Ti,1.69,19.14
Pm2NiZnO6,1.23821,1.98305,1.2334,0.33615,0.7266,1.83585,1.11685,0.33605,0.69615,-3.30607,-5.15618,-1.25847,0.6445,61,29,5.58187,8.51704,0.129,0.26858,1.13,1.78,3,3,Pm,Ni,Zn,6.83,10.31
Pm2PbTaO6,0.71818,1.98305,1.2535,0.33615,1.1228,1.83585,1.2138,0.33605,1.0787,-3.30607,-8.44061,-1.25847,-1.98349,61,77.5,5.58187,7.48313,0.129,0.33992,1.13,1.915,3,3,Pm,Pb,Ta,6.83,15.36
Pr2TaZnO6,1.08338,2.02475,1.28655,0.36565,0.97415,1.89375,1.2242,0.36655,0.93795,-3.26203,-5.70807,-1.05666,-1.05442,59,51.5,5.4702,8.47188,0.10923,-0.14844,1.13,1.575,3,3,Pr,Ta,Zn,6.38,14.76
Ca2PdSbO6,1.01342,1.80815,1.24535,1.80815,0.90645,1.65875,1.1471,1.65875,0.87835,-3.94208,-5.58172,-0.93507,-2.87723,20,48.5,6.11316,8.47261,0.02455,0.80477,1,2.125,2,4,Ca,Pd,Sb,4.44,13.285
Pm2CdTaO6,0.97301,1.98305,1.3519,0.33615,1.0395,1.83585,1.2891,0.33605,1.00285,-3.30607,-5.50668,-1.25847,-1.12668,61,60.5,5.58187,8.2717,0.129,-0.19844,1.13,1.595,3,3,Pm,Cd,Ta,6.83,14.385
K2PdRuO6,0.75518,2.18365,1.45895,2.18365,0.61,0.56995,1.34325,0.61135,0.60485,-2.62161,-5.03628,-1.15107,-2.69589,19,45,4.34066,7.84867,0.50146,0.80426,0.82,2.2,1,5,K,Pd,Ru,1.82,22.25
Sm2PdZrO6,1.05452,1.99935,1.59435,0.32485,0.72615,1.80355,1.4347,0.32345,0.70245,-3.31902,-4.75939,-0.57557,-2.13047,62,43,5.64371,7.48548,0.162,0.49772,1.17,1.765,2,4,Sm,Pd,Zr,8.06,15.725
Sm2FeVO6,1.40498,1.99935,1.3894,0.32485,0.42875,1.80355,1.3088,0.32345,0.42825,-3.31902,-4.77048,-0.57557,-1.02437,62,24.5,5.64371,7.32433,0.162,0.34045,1.17,1.73,2,4,Sm,Fe,V,8.06,14.01
Na2TcWO6,1.34245,1.74615,1.42875,1.74615,0.73525,0.32095,1.3759,0.28665,0.7283,-3.18997,-4.60988,-0.88318,-2.51968,11,58.5,5.13908,7.49171,0.54793,0.68413,0.93,2.13,1,5,Na,Tc,W,1.82,29.06
Pm2CrZnO6,1.21603,1.98305,1.2826,0.33615,0.77805,1.83585,1.2118,0.33605,0.7461,-3.30607,-5.54685,-1.25847,-0.72783,61,27,5.58187,8.08035,0.129,0.02792,1.13,1.655,3,3,Pm,Cr,Zn,6.83,13.25
Pm2RhVO6,1.29542,1.98305,1.51075,0.33615,0.5466,1.83585,1.3889,0.33605,0.5414,-3.30607,-4.60863,-1.25847,-1.96165,61,34,5.58187,7.10254,0.129,0.83528,1.13,1.955,3,3,Pm,Rh,V,6.83,18.72
Y2PdSnO6,1.02329,1.78395,1.2773,0.95895,0.96875,1.63185,1.1759,1.63185,0.93105,-3.97745,-7.69259,-1.37282,-2.57009,39,48,6.21726,7.84038,0.30712,0.83711,1.22,2.08,3,3,Y,Pd,Sn,8.42,13.22
Na2SbSbO6,0.93411,1.74615,1.01025,1.74615,1.23285,0.32095,0.99215,0.28665,1.18345,-3.18997,-6.0944,-0.88318,-3.07059,11,51,5.13908,8.60839,0.54793,1.0474,0.93,2.05,1,5,Na,Sb,Sb,1.82,8.93
Sm2AgMnO6,1.04138,1.99935,1.3256,0.32485,0.8668,1.80355,1.25405,0.32345,0.473,-3.31902,-4.84083,-0.57557,-2.33023,62,36,5.64371,7.50514,0.162,0.39224,1.17,1.74,2,4,Sm,Ag,Mn,8.06,14.805
Mg2CoNiO6,1.18508,1.35285,1.303,1.35285,0.34775,1.26075,1.1984,1.26075,0.34955,-5.04225,-4.75308,-0.77042,0.82146,12,27.5,7.64624,7.76044,-0.42,0.90971,1.31,1.895,2,4,Mg,Co,Ni,5.26,13.9
Be2CdWO6,0.87849,1.08065,1.33565,1.08065,1.02065,1.00365,1.2833,1.00365,0.98455,-6.07034,-5.42022,-1.4731,-1.24524,4,61,9.3227,8.42893,-0.52,0.04813,1.57,2.025,2,4,Be,Cd,W,6.02,18.65
Na2FeTiO6,1.11806,1.74615,1.4293,1.74615,0.45915,0.32095,1.3361,0.28665,0.4513,-3.18997,-4.78295,-0.88318,-1.11283,11,24,5.13908,7.36529,0.54793,0.11439,0.93,1.685,1,5,Na,Fe,Ti,1.82,12.645
Ba2TaTaO6,1.21699,2.20615,1.46035,2.20615,0.83555,2.07185,1.39535,2.07185,0.82285,-3.35828,-4.99066,-1.33494,-1.69065,56,73,5.21166,7.54957,0.14463,0.32312,0.89,1.5,2,4,Ba,Ta,Ta,3.58,22.23
Li2CrRuO6,1.29194,1.61625,1.44495,1.61625,0.54165,0.19135,1.3775,0.19135,0.5378,-3.41248,-4.83588,-0.8909,-1.87269,3,34,5.39171,7.06351,0.61805,0.86111,0.98,1.93,1,5,Li,Cr,Ru,1.76,23.035
Rb2CoMoO6,1.02386,2.29415,1.3964,2.29415,0.5415,0.66735,1.34865,0.75565,0.53885,-2.49875,-5.22545,-1.23792,-0.60539,37,34.5,4.17713,7.48672,0.48592,0.7048,0.82,2.02,1,5,Rb,Co,Mo,1.69,20.245
Pr2NiZrO6,1.12398,2.02475,1.53115,0.36565,0.60635,1.89375,1.374,0.36655,0.58545,-3.26203,-4.16832,-1.05666,0.06505,59,34,5.4702,7.137,0.10923,0.79523,1.13,1.62,3,3,Pr,Ni,Zr,6.38,13.57
Sm2FeGaO6,1.32664,1.99935,1.1348,0.32485,0.87305,1.80355,1.07775,0.32345,0.6754,-3.31902,-7.14697,-0.57557,-1.29093,62,28.5,5.64371,6.95089,0.162,0.22722,1.17,1.82,3,3,Sm,Fe,Ga,8.06,9.665
Be2NiTcO6,1.17721,1.08065,1.39185,1.08065,0.50655,1.00365,1.27435,1.00365,0.5048,-6.07034,-4.14445,-1.4731,-0.70221,4,35.5,9.3227,7.37963,-0.52,0.85458,1.57,1.905,2,4,Be,Ni,Tc,6.02,20.345
La2GaMnO6,1.29799,2.03235,1.16475,1.19775,0.88595,1.88385,1.1068,1.88385,0.6871,-3.5912,-6.87604,-1.49016,-1.55084,57,28,5.5769,6.71667,0.55755,-0.1094,1.1,1.68,3,3,La,Ga,Mn,6.56,13.005
Mg2FeRhO6,1.23034,1.35285,1.38,1.35285,0.493,1.26075,1.26115,1.26075,0.4895,-5.04225,-5.04902,-0.77042,-1.81915,12,35.5,7.64624,7.68068,-0.42,0.64806,1.31,2.055,2,4,Mg,Fe,Rh,5.26,17.74
Sr2PdVO6,1.09359,1.96785,1.5003,1.96785,0.5312,1.81085,1.3693,1.81085,0.5267,-3.70916,-4.69956,-0.90065,-1.92536,38,34.5,5.69487,7.54151,0.05207,0.5449,0.95,1.915,2,4,Sr,Pd,V,3.75,16.315
Li2BiCrO6,0.59757,1.61625,1.2242,1.61625,0.86875,0.19135,1.1781,0.19135,0.8442,-3.41248,-5.19776,-0.8909,-1.94093,3,53.5,5.39171,7.02601,0.61805,0.8091,0.98,1.84,1,5,Li,Bi,Cr,1.76,14.085
Ba2RuRuO6,1.1626,2.20615,1.43745,2.20615,0.63995,2.07185,1.38445,2.07185,0.63645,-3.35828,-5.00352,-1.33494,-2.70791,56,44,5.21166,7.3605,0.14463,1.04638,0.89,2.2,2,4,Ba,Ru,Ru,3.58,26.86
Pr2CuZrO6,1.07138,2.02475,1.4566,0.36565,1.0386,1.89375,1.35705,0.36655,0.57465,-3.26203,-4.89622,-1.05666,-2.45728,59,34.5,5.4702,7.18025,0.10923,0.83454,1.13,1.615,3,3,Pr,Cu,Zr,6.38,12.285
Ce2PdTcO6,1.09445,2.07805,1.45505,1.35245,0.62635,1.91635,1.33505,0.38175,0.6218,-3.34104,-4.73553,-1.39487,-2.89773,58,44.5,5.5386,7.72811,0.572,0.55707,1.12,2.05,3,3,Ce,Pd,Tc,4.78,22.5
Mg2BiTiO6,0.90108,1.35285,1.29795,1.35285,0.91865,1.26075,1.2384,1.26075,0.88775,-5.04225,-5.04115,-0.77042,-2.09409,12,52.5,7.64624,7.05682,-0.42,0.50895,1.31,1.78,2,4,Mg,Bi,Ti,5.26,10.61
Y2GaPdO6,1.191,1.78395,1.2457,0.95895,0.9755,1.63185,1.13825,1.63185,0.77385,-3.97745,-7.07606,-1.37282,-2.19193,39,38.5,6.21726,7.16807,0.30712,0.43167,1.22,2.005,3,3,Y,Ga,Pd,8.42,11.97
K2NbTaO6,1.22495,2.18365,1.5355,2.18365,0.8126,0.56995,1.4722,0.61135,0.79825,-2.62161,-4.84088,-1.15107,-1.51695,19,57,4.34066,7.15421,0.50146,0.62026,0.82,1.55,1,5,K,Nb,Ta,1.82,21.07
Pr2CoMnO6,1.42895,2.02475,1.28525,0.36565,0.378,1.89375,1.22765,0.36655,0.3798,-3.26203,-5.14414,-1.05666,-0.73298,59,26,5.4702,7.65752,0.10923,0.07113,1.13,1.715,4,2,Pr,Co,Mn,6.38,17.09
Ce2TiVO6,1.31964,2.07805,1.56005,1.35245,0.51275,1.91635,1.46385,0.38175,0.5032,-3.34104,-4.34255,-1.39487,-1.25532,58,22.5,5.5386,6.78715,0.572,0.3016,1.12,1.585,4,2,Ce,Ti,V,4.78,13.625
La2PdRuO6,1.11262,2.03235,1.45895,1.19775,0.61,1.88385,1.34325,1.88385,0.60485,-3.5912,-5.03628,-1.49016,-2.69589,57,45,5.5769,7.84867,0.55755,0.80426,1.1,2.2,3,3,La,Pd,Ru,6.56,22.25
Li2RuTiO6,1.17482,1.61625,1.5187,1.61625,0.59155,0.19135,1.4378,0.19135,0.58135,-3.41248,-4.67927,-0.8909,-2.02585,3,33,5.39171,7.09431,0.61805,0.56096,0.98,1.87,1,5,Li,Ru,Ti,1.76,19.56
Be2FeNbO6,1.35638,1.08065,1.43465,1.08065,0.5824,1.00365,1.36505,1.00365,0.575,-6.07034,-4.95098,-1.4731,-1.11256,4,33.5,9.3227,7.33066,-0.52,0.53532,1.57,1.715,2,4,Be,Fe,Nb,6.02,16.47
Ce2PdPdO6,1.17497,2.07805,1.48045,1.35245,0.58005,1.91635,1.30205,0.38175,0.57325,-3.34104,-5.06904,-1.39487,-2.68386,58,46,5.5386,8.33684,0.572,0.56214,1.12,2.2,4,2,Ce,Pd,Pd,4.78,17.64
La2PtWO6,0.87021,2.03235,1.38225,1.19775,0.7353,1.88385,1.3038,1.88385,0.72485,-3.5912,-5.07749,-1.49016,-3.01215,57,76,5.5769,8.41143,0.55755,1.47069,1.1,2.32,3,3,La,Pt,W,6.56,27.515
Pr2MnSnO6,1.19342,2.02475,1.19635,0.36565,0.8792,1.89375,1.14445,0.36655,0.8443,-3.26203,-7.49258,-1.05666,-1.929,59,37.5,5.4702,7.38898,0.10923,0.29604,1.13,1.755,4,2,Pr,Mn,Sn,6.38,14.255
Ca2BiRhO6,0.72493,1.80815,1.24865,1.80815,0.9525,1.65875,1.16345,1.65875,0.92595,-3.94208,-5.30723,-0.93507,-2.80041,20,64,6.11316,7.37221,0.02455,1.04263,1,2.15,2,4,Ca,Bi,Rh,4.44,15.705
Nd2BiWO6,0.94274,2.00295,1.2119,0.35015,1.046,1.89905,1.1847,0.34865,1.01775,-3.25222,-5.27252,-1.29622,-2.38608,60,78.5,5.525,7.57477,0.09749,0.87932,1.14,2.19,2,4,Nd,Bi,W,6.83,19.86
Ca2CdMnO6,0.88454,1.80815,1.281,1.80815,0.8222,1.65875,1.211,1.65875,0.7913,-3.94208,-5.34585,-0.93507,-0.98219,20,36.5,6.11316,8.21393,0.02455,-0.62,1,1.62,2,4,Ca,Cd,Mn,4.44,13.125
Na2CrMnO6,1.26553,1.74615,1.3855,1.74615,0.42215,0.32095,1.30485,0.28665,0.41945,-3.18997,-4.66862,-0.88318,-1.21957,11,24.5,5.13908,7.10027,0.54793,0.07792,0.93,1.605,1,5,Na,Cr,Mn,1.82,19.46
Mg2GeSnO6,1.1418,1.35285,1.00005,1.35285,1.2651,1.26075,0.9788,1.26075,1.1953,-5.04225,-10.90918,-0.77042,-2.46591,12,41,7.64624,7.62168,-0.42,1.17237,1.31,1.985,2,4,Mg,Ge,Sn,5.26,8.81
Be2BiMoO6,0.62171,1.08065,1.2684,1.08065,1.01105,1.00365,1.2334,1.00365,0.98355,-6.07034,-5.27946,-1.4731,-1.99545,4,62.5,9.3227,7.18897,-0.52,0.84485,1.57,2.09,2,4,Be,Bi,Mo,6.02,17.49
Ba2NiSnO6,0.91983,2.20615,1.2141,2.20615,0.84895,2.07185,1.1152,2.07185,0.81405,-3.35828,-7.10152,-1.33494,-0.37457,56,39,5.21166,7.4919,0.14463,1.13462,0.89,1.935,2,4,Ba,Ni,Sn,3.58,11.065
Be2CrVO6,1.39531,1.08065,1.4863,1.08065,0.46285,1.00365,1.40355,1.00365,0.45965,-6.07034,-4.49916,-1.4731,-1.10216,4,23.5,9.3227,6.75635,-0.52,0.60175,1.57,1.645,2,4,Be,Cr,V,6.02,17.1
Ba2MnVO6,1.19264,2.20615,1.41935,2.20615,0.44165,2.07185,1.33785,2.07185,0.43995,-3.35828,-4.49955,-1.33494,-1.28427,56,24,5.21166,7.09011,0.14463,0.00383,0.89,1.59,2,4,Ba,Mn,V,3.58,17.35
Pr2CoSnO6,1.15731,2.02475,1.16305,0.36565,0.85625,1.89375,1.13295,0.36655,0.82435,-3.26203,-7.9677,-1.05666,-1.26029,59,38.5,5.4702,7.61246,0.10923,0.88717,1.13,1.92,4,2,Pr,Co,Sn,6.38,11.635
Ce2AlRhO6,1.30929,2.07805,1.3056,1.35245,1.0183,1.91635,1.1993,0.38175,0.83,-3.34104,-6.33222,-1.39487,-2.27158,58,29,5.5386,6.72233,0.572,0.78786,1.12,1.945,3,3,Ce,Al,Rh,4.78,15.495
Nd2CuWO6,0.99561,2.00295,1.3164,0.35015,1.0014,1.89905,1.26525,0.34865,0.55195,-3.25222,-5.08023,-1.29622,-2.63262,60,51.5,5.525,7.79521,0.09749,1.02603,1.14,2.13,3,3,Nd,Cu,W,6.83,20.76
Nd2MnTaO6,1.31167,2.00295,1.38945,0.35015,0.61825,1.89905,1.31725,0.34865,0.6113,-3.25222,-4.82984,-1.29622,-1.54617,60,49,5.525,7.4918,0.09749,-0.09844,1.14,1.525,2,4,Nd,Mn,Ta,6.83,20.97
Sr2MoRuO6,1.21805,1.96785,1.48915,1.96785,0.68395,1.81085,1.4328,1.81085,0.67715,-3.70916,-4.91758,-0.90065,-1.92721,38,43,5.69487,7.22647,0.05207,0.89686,0.95,2.18,2,4,Sr,Mo,Ru,3.75,26.44
Ce2MnMoO6,1.38444,2.07805,1.4297,1.35245,0.56445,1.91635,1.36015,0.38175,0.5588,-3.34104,-4.75032,-1.39487,-1.2741,58,33.5,5.5386,7.26323,0.572,0.11367,1.12,1.855,3,3,Ce,Mn,Mo,4.78,22.865
K2FePbO6,0.6901,2.18365,1.15265,2.18365,0.8926,0.56995,1.10665,0.61135,0.85545,-2.62161,-8.55072,-1.15107,-1.5791,19,54,4.34066,7.65957,0.50146,0.25498,0.82,2.08,1,5,K,Fe,Pb,1.82,10.76
Pr2BiMoO6,0.96942,2.02475,1.2684,0.36565,1.01105,1.89375,1.2334,0.36655,0.98355,-3.26203,-5.27946,-1.05666,-1.99545,59,62.5,5.4702,7.18897,0.10923,0.84485,1.13,2.09,3,3,Pr,Bi,Mo,6.38,17.49
K2MnPbO6,0.66125,2.18365,1.1826,2.18365,0.9055,0.56995,1.1357,0.61135,0.86715,-2.62161,-8.27979,-1.15107,-1.83901,19,53.5,4.34066,7.42536,0.50146,-0.08164,0.82,1.94,1,5,K,Mn,Pb,1.82,14.1
Nd2BiNiO6,1.00416,2.00295,1.175,0.35015,0.8173,1.89905,1.08315,0.34865,0.79425,-3.25222,-4.80709,-1.29622,-0.56861,60,55.5,5.525,7.4627,0.09749,1.04976,1.14,1.965,2,4,Nd,Bi,Ni,6.83,11.145
Be2FeNiO6,1.27939,1.08065,1.30635,1.08065,0.3578,1.00365,1.18085,1.00365,0.3578,-6.07034,-4.54888,-1.4731,0.41266,4,27,9.3227,7.77117,-0.52,0.6552,1.57,1.87,2,4,Be,Fe,Ni,6.02,13.18
Na2BiVO6,0.90743,1.74615,1.25805,1.74615,0.88825,0.32095,1.2111,0.28665,0.8647,-3.18997,-5.02868,-0.88318,-2.00563,11,53,5.13908,7.01585,0.54793,0.73501,0.93,1.825,1,5,Na,Bi,V,1.82,11.975
Pr2FePbO6,0.9372,2.02475,1.15265,0.36565,0.8926,1.89375,1.10665,0.36655,0.85545,-3.26203,-8.55072,-1.05666,-1.5791,59,54,5.4702,7.65957,0.10923,0.25498,1.13,2.08,4,2,Pr,Fe,Pb,6.38,10.76
La2CdTiO6,1.04949,2.03235,1.4217,1.19775,0.8933,1.88385,1.337,1.88385,0.85455,-3.5912,-5.18886,-1.49016,-0.95324,57,35,5.5769,7.91097,0.55755,-0.32223,1.1,1.615,3,3,La,Cd,Ti,6.56,9.4
Sm2TiZrO6,1.15631,1.99935,1.6541,0.32485,0.7077,1.80355,1.52925,0.32345,0.67895,-3.31902,-4.40238,-0.57557,-1.46043,62,31,5.64371,6.73112,0.162,0.25442,1.17,1.435,2,4,Sm,Ti,Zr,8.06,13.035
Nd2CrNiO6,1.30265,2.00295,1.40325,0.35015,0.3919,1.89905,1.2756,0.34865,0.3892,-3.25222,-4.27756,-1.29622,0.33486,60,26,5.525,7.20319,0.09749,0.9165,1.14,1.785,2,4,Nd,Cr,Ni,6.83,16.27
Cs2RhTcO6,0.88288,2.51755,1.4655,2.51755,0.64175,0.81755,1.35465,0.94155,0.6365,-2.29006,-4.64459,-1.22595,-2.93401,55,44,3.89391,7.28914,0.47163,0.84745,0.79,2.09,1,5,Cs,Rh,Tc,1.43,24.905
Na2FeGeO6,1.0949,1.74615,1.0923,1.74615,0.77395,0.32095,1.04445,0.28665,0.73905,-3.18997,-8.35655,-0.88318,-1.67869,11,29,5.13908,7.90095,0.54793,0.69296,0.93,1.92,1,5,Na,Fe,Ge,1.82,10.925
Pr2PtSnO6,1.02727,2.02475,1.2054,0.36565,1.0151,1.89375,1.1368,0.36655,0.97615,-3.26203,-7.82669,-1.05666,-3.27642,59,64,5.4702,8.15137,0.10923,1.61859,1.13,2.12,4,2,Pr,Pt,Sn,6.38,16.535
Sr2BiNbO6,0.86858,1.96785,1.3033,1.96785,1.0419,1.81085,1.26735,1.81085,1.01145,-3.70916,-5.20919,-0.90065,-2.09382,38,62,5.69487,7.02218,0.05207,0.92988,0.95,1.81,2,4,Sr,Bi,Nb,3.75,14.435
Ce2PdZrO6,0.98359,2.07805,1.59435,1.35245,0.72615,1.91635,1.4347,0.38175,0.70245,-3.34104,-4.75939,-1.39487,-2.13047,58,43,5.5386,7.48548,0.572,0.49772,1.12,1.765,3,3,Ce,Pd,Zr,4.78,15.725
Li2FeNiO6,1.03897,1.61625,1.30635,1.61625,0.3578,0.19135,1.18085,0.19135,0.3578,-3.41248,-4.54888,-0.8909,0.41266,3,27,5.39171,7.77117,0.61805,0.6552,0.98,1.87,1,5,Li,Fe,Ni,1.76,13.18
Ca2FePbO6,0.92212,1.80815,1.15265,1.80815,0.8926,1.65875,1.10665,1.65875,0.85545,-3.94208,-8.55072,-0.93507,-1.5791,20,54,6.11316,7.65957,0.02455,0.25498,1,2.08,2,4,Ca,Fe,Pb,4.44,10.76
Ba2PdRhO6,0.93378,2.20615,1.4909,2.20615,0.59545,2.07185,1.32165,2.07185,0.58795,-3.35828,-4.97811,-1.33494,-2.72015,56,45.5,5.21166,7.89787,0.14463,0.85252,0.89,2.24,2,4,Ba,Pd,Rh,3.58,20.045
Pr2CuPbO6,0.99826,2.02475,1.1258,0.36565,1.3075,1.89375,1.0895,0.36655,0.8261,-3.26203,-8.61663,-1.05666,-2.8069,59,55.5,5.4702,7.57153,0.10923,0.79625,1.13,2.115,4,2,Pr,Cu,Pb,6.38,9.625
